date,pm10,pm2_5,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,aerosol_optical_depth,dust,uv_index,us_aqi,european_aqi
2025-09-19,34.86666666666667,20.295833333333334,552.8333333333334,14.841666666666667,28.208333333333332,50.333333333333336,0.44416666666666665,21.333333333333332,1.4041666666666668,63.333333333333336,37.375
2025-09-20,31.03333333333333,17.658333333333335,471.9166666666667,12.129166666666668,23.349999999999998,54.125,0.4375,19.041666666666668,1.6791666666666665,64.91666666666667,38.916666666666664
2025-09-21,26.670833333333334,17.691666666666666,430.0833333333333,12.762500000000001,28.579166666666666,59.0,0.5245833333333333,11.541666666666666,1.3958333333333333,63.041666666666664,38.583333333333336
2025-09-22,26.037499999999998,15.041666666666666,456.1666666666667,7.8125,16.5,57.291666666666664,0.46625,14.541666666666666,1.3729166666666668,57.916666666666664,32.541666666666664
2025-09-23,40.266666666666666,19.974999999999998,368.125,7.058333333333334,15.954166666666666,53.625,0.42166666666666663,30.0,1.9708333333333332,62.416666666666664,36.875
2025-09-24,26.125,17.191666666666666,372.4583333333333,9.950000000000001,23.866666666666664,61.416666666666664,0.30291666666666667,10.125,1.7229166666666667,64.0,40.75
2025-09-25,23.0625,17.779166666666665,431.2083333333333,11.424999999999999,30.912499999999998,60.916666666666664,0.31708333333333333,4.625,2.004166666666667,60.083333333333336,38.416666666666664
2025-09-26,32.75416666666667,24.858333333333334,581.125,15.570833333333333,39.862500000000004,76.04166666666667,0.45125,7.833333333333333,1.6312499999999999,66.375,45.333333333333336
2025-09-27,30.27916666666667,20.283333333333335,368.4583333333333,9.691666666666666,16.320833333333333,74.91666666666667,0.69,12.541666666666666,1.2666666666666666,78.16666666666667,58.125
2025-09-28,15.183333333333332,11.995833333333332,217.29166666666666,5.904166666666666,8.245833333333334,82.45833333333333,0.37083333333333335,2.875,0.25,60.166666666666664,35.875
2025-09-29,18.541666666666668,13.216666666666667,214.33333333333334,5.645833333333333,9.9125,88.375,0.32875,4.041666666666667,1.6270833333333332,47.458333333333336,37.25
2025-09-30,22.083333333333332,14.083333333333334,212.04166666666666,8.700000000000001,11.674999999999999,57.083333333333336,0.34041666666666665,8.041666666666666,1.6895833333333332,54.958333333333336,29.166666666666668
2025-10-01,21.5125,13.5,202.95833333333334,9.216666666666667,11.862499999999999,51.833333333333336,0.34625,8.083333333333334,1.8041666666666665,52.375,27.333333333333332
2025-10-02,20.125,13.270833333333334,222.79166666666666,11.4375,13.095833333333333,41.916666666666664,0.31833333333333336,6.291666666666667,0.7875000000000001,54.166666666666664,27.958333333333332
2025-10-03,18.224999999999998,12.729166666666666,262.2083333333333,12.045833333333334,16.5875,46.791666666666664,0.2608333333333333,5.375,2.0083333333333333,51.166666666666664,26.333333333333332
2025-10-04,27.645833333333332,15.879166666666668,327.625,13.229166666666666,21.004166666666666,50.208333333333336,0.28291666666666665,17.083333333333332,2.0124999999999997,54.625,29.458333333333332
2025-10-05,48.05416666666667,24.6375,343.5416666666667,14.216666666666667,25.320833333333336,56.625,0.4254166666666667,36.416666666666664,1.8833333333333335,67.33333333333333,43.25
2025-10-06,35.458333333333336,20.708333333333332,327.3333333333333,13.391666666666666,25.304166666666664,56.666666666666664,0.33875000000000005,20.916666666666668,1.8416666666666668,76.75,57.416666666666664
2025-10-07,23.662499999999998,16.616666666666667,455.5833333333333,12.183333333333332,28.15416666666667,66.54166666666667,0.25125000000000003,8.25,1.8958333333333333,60.458333333333336,39.916666666666664
2025-10-08,40.63333333333333,23.09166666666667,586.75,12.7125,24.329166666666666,77.79166666666667,0.33791666666666664,26.791666666666668,1.9249999999999998,66.95833333333333,44.75
2025-10-09,97.1875,50.9375,514.0416666666666,15.016666666666666,35.0375,148.33333333333334,0.4379166666666667,85.0,1.8416666666666668,123.625,69.125
2025-10-10,80.47916666666667,50.1875,508.125,18.150000000000002,28.883333333333336,147.625,0.4291666666666667,56.625,1.7854166666666667,162.25,82.33333333333333
2025-10-11,64.30416666666666,48.041666666666664,503.4166666666667,18.866666666666667,26.375,152.95833333333334,0.43166666666666664,30.083333333333332,1.8,161.5,80.33333333333333
2025-10-12,54.71666666666667,47.349999999999994,492.5833333333333,18.404166666666665,27.295833333333334,164.16666666666666,0.3445833333333333,13.5,1.8458333333333332,166.0,80.75
2025-10-13,44.39166666666667,41.82083333333333,485.6666666666667,19.241666666666667,26.462500000000002,158.75,0.26125000000000004,4.333333333333333,1.90625,157.875,77.25
2025-10-14,43.25,41.4625,483.8333333333333,22.75,25.054166666666664,156.08333333333334,0.2804166666666667,2.9166666666666665,1.7895833333333335,158.375,76.54166666666667
2025-10-15,49.05416666666667,46.89166666666667,543.0833333333334,28.84583333333333,27.429166666666664,159.25,0.5616666666666666,3.5833333333333335,1.6541666666666668,161.79166666666666,77.83333333333333
2025-10-16,51.5875,51.354166666666664,579.4166666666666,36.77916666666667,32.4125,160.20833333333334,0.4175,0.25,1.8916666666666666,181.66666666666666,86.0
2025-10-17,43.71666666666667,43.4125,466.75,28.933333333333334,26.22083333333333,174.95833333333334,0.5170833333333333,0.0,1.7104166666666665,180.5,81.91666666666667
2025-10-18,57.1625,56.487500000000004,531.0833333333334,33.97083333333333,29.520833333333332,191.54166666666666,0.745,0.625,1.4937500000000001,185.125,85.5
2025-10-19,80.33333333333333,78.63333333333334,501.6666666666667,33.15416666666667,26.8875,157.91666666666666,1.3195833333333333,2.75,1.0708333333333333,185.20833333333334,94.5
2025-10-20,82.50416666666666,79.2375,522.875,33.170833333333334,24.787499999999998,157.0,1.0258333333333334,5.875,1.26875,189.375,105.79166666666667
2025-10-21,64.4375,62.775,587.625,31.09166666666667,27.858333333333334,143.33333333333334,0.8325,2.75,1.3770833333333332,181.625,95.20833333333333
2025-10-22,47.75416666666666,47.425000000000004,549.4583333333334,24.037499999999998,23.479166666666668,123.54166666666667,0.4495833333333334,0.041666666666666664,1.7020833333333334,165.375,87.16666666666667
2025-10-23,36.9125,36.55,456.0833333333333,26.191666666666666,21.474999999999998,121.70833333333333,0.3575,0.0,1.8541666666666667,141.66666666666666,74.54166666666667
2025-10-24,31.204166666666666,31.004166666666666,376.9166666666667,24.65833333333333,35.479166666666664,121.41666666666667,0.33,0.0,1.7041666666666666,122.79166666666667,69.45833333333333
2025-10-25,29.395833333333332,29.27916666666667,418.5,34.975,40.083333333333336,77.0,0.2783333333333333,0.0,1.425,99.625,67.375
2025-10-26,17.241666666666667,16.425,389.0833333333333,23.900000000000002,18.325,49.583333333333336,0.1691666666666667,0.0,0.7041666666666666,70.20833333333333,46.375
2025-10-27,14.200000000000001,13.408333333333333,393.125,16.608333333333334,13.512500000000001,52.375,0.21583333333333332,0.0,0.8354166666666667,54.666666666666664,29.083333333333332
2025-10-28,24.1875,22.925,371.8333333333333,16.7,15.420833333333334,82.54166666666667,0.4058333333333333,0.5833333333333334,1.5020833333333332,64.375,42.791666666666664
2025-10-29,31.354166666666668,28.983333333333334,414.9583333333333,18.8875,22.104166666666668,99.125,0.3841666666666667,1.4166666666666667,1.5708333333333335,97.125,63.208333333333336
2025-10-30,24.46666666666667,20.504166666666666,335.1666666666667,13.737499999999999,13.366666666666667,79.25,0.33666666666666667,1.5833333333333333,0.8666666666666667,73.70833333333333,50.583333333333336
2025-10-31,16.8,14.091666666666667,255.25,10.987499999999999,10.5875,75.75,0.26375,0.8333333333333334,1.2520833333333334,66.125,40.5
2025-11-01,17.654166666666665,14.566666666666668,303.6666666666667,10.870833333333332,13.141666666666666,79.0,0.29916666666666664,0.0,1.46875,50.5,32.541666666666664
2025-11-02,18.754166666666666,15.404166666666667,316.6666666666667,12.141666666666666,15.808333333333332,70.54166666666667,0.3025,0.0,1.3770833333333332,57.333333333333336,32.625
2025-11-03,23.75,19.8125,440.25,12.995833333333332,22.166666666666668,83.29166666666667,0.315,1.0416666666666667,1.4708333333333332,60.791666666666664,38.916666666666664
2025-11-04,33.050000000000004,28.65833333333333,681.9583333333334,12.229166666666666,30.995833333333334,105.875,0.3566666666666667,2.2916666666666665,1.3270833333333334,83.125,55.416666666666664
2025-11-05,40.387499999999996,32.854166666666664,738.4583333333334,13.166666666666666,33.699999999999996,105.20833333333333,0.36166666666666664,7.708333333333333,1.4770833333333335,98.79166666666667,66.33333333333333
2025-11-06,53.270833333333336,42.44583333333333,639.375,14.941666666666668,37.050000000000004,124.70833333333333,0.5191666666666667,16.958333333333332,1.4604166666666665,114.58333333333333,68.79166666666667
2025-11-07,52.26666666666667,49.45416666666667,718.6666666666666,21.837500000000002,48.012499999999996,178.33333333333334,0.43166666666666664,4.708333333333333,1.4875,173.375,83.04166666666667
2025-11-08,28.766666666666666,27.21666666666667,527.3333333333334,18.479166666666668,20.291666666666668,137.70833333333334,0.2725,2.625,1.5875000000000001,146.95833333333334,73.33333333333333
2025-11-09,28.820833333333336,27.754166666666666,584.1666666666666,15.424999999999999,26.416666666666668,157.29166666666666,0.18458333333333332,1.25,1.6520833333333333,133.04166666666666,68.375
2025-11-10,43.979166666666664,43.09583333333333,661.2083333333334,25.1375,57.42083333333333,178.83333333333334,0.28375,1.0833333333333333,1.5250000000000001,148.83333333333334,72.375
2025-11-11,52.71666666666667,51.13333333333333,729.2916666666666,20.091666666666665,60.13333333333333,193.0,0.44458333333333333,2.5,1.3770833333333332,182.41666666666666,80.83333333333333
2025-11-12,51.01666666666667,48.87916666666666,481.0833333333333,19.166666666666668,26.670833333333334,141.91666666666666,0.5191666666666667,4.0,1.3583333333333334,159.375,80.33333333333333
2025-11-13,53.7875,52.112500000000004,497.4166666666667,20.916666666666668,25.633333333333336,152.875,0.46541666666666665,2.6666666666666665,1.4000000000000001,161.54166666666666,81.125
2025-11-14,58.62916666666666,56.90833333333333,561.75,25.254166666666666,27.662499999999998,158.16666666666666,0.43041666666666667,2.625,1.40625,170.20833333333334,84.08333333333333
2025-11-15,61.9125,59.0625,605.0833333333334,25.03333333333333,28.21666666666667,159.70833333333334,0.4025,4.833333333333333,1.4000000000000001,176.58333333333334,86.33333333333333
2025-11-16,58.44583333333333,56.21666666666667,565.5833333333334,24.954166666666666,26.458333333333332,143.79166666666666,0.375,3.9583333333333335,1.3458333333333332,174.08333333333334,87.54166666666667
